code,prefecture
ΜΖ,"Messinia – Kalamata"
ΜΗ,"Lesvos – Myrina (Limnos)"
ΜΙ,"Phthiotis (Fthiotida) – Lamia"
ΜΚ,"Karditsa – Karditsa"
ΜΜ,"Pella – Edessa"
ΜΝ,"Kozani – Kozani"
ΜΟ,"Samos – Samos"
ΜΡ,"Laconia – Sparti"
ΜΤ,"Lesbos – Mytilini"
ΜΥ,"Lesbos (Lesvos) – Mytilini"
ΜΧ,"Evros – Alexandroupoli"
ΝΑ,"Thessaloniki – Thessaloniki"
ΝΒ,"Thessaloniki – Thessaloniki"
ΝΕ,"Thessaloniki – Thessaloniki"
ΝΖ,"Thessaloniki – Thessaloniki"
ΝΗ,"Thessaloniki – Thessaloniki"
ΝΙ,"Thessaloniki – Thessaloniki"
ΝΚ,"Thessaloniki – Thessaloniki"
ΝΜ,"Thessaloniki – Thessaloniki"
ΝΝ,"Thessaloniki – Thessaloniki"
ΝΟ,"Thessaloniki – Thessaloniki"
ΝΡ,"Thessaloniki"
ΝΤ,"Thessaloniki"
ΝΥ,"Thessaloniki"
NX,"Thessaloniki"
ΝΧ,"Prefecture Transport"
ΟΑ,"Athens"
ΟΒ,"Athens"
ΟΕ,"Athens"
ΟΖ,"Athens"
ΟΗ,"Athens"
ΟΙ,"Athens"
ΟΚ,"Athens"
ΟΜ,"Athens"
ΟΝ,"Athens"
ΟΟ,"Athens"
ΟΡ,"Evros – Orestiada area"
ΟΤ,"Athens"
ΟΥ,"Athens"
ΟΧ,"Athens"
ΡΑ,"Florina – Florina"
ΡΒ,"Corinthia – Corinth"
ΡΕ,"Rethymno – Rethymno"
ΡΖ,"Preveza – Preveza"
ΡΗ,"Rethymno – Rethymno"
ΡΙ,"Larissa – Larissa"
ΡΚ,"Dodecanese – Rodos (Rhodes)"
ΡΜ,"Drama – Drama"
ΡΝ,"Grevena – Grevena"
ΡΟ,"Dodecanese – Rhodes (Rodos)"
ΡΡ,"Larissa – Larissa"
ΡΤ,"Larissa – Larissa"
ΡΥ,"Dodecanese – Rodos (Rhodes)"
ΡΧ,"Dodecanese – Rodos (Rhodes)"
ΤΑ,"Taxis"
ΤΒ,"Corfu (Kerkyra) – Corfu"
ΤΕ,"Corfu (Kerkyra) – Corfu"
ΤΖ,"Piraeus"
ΤΗ,"Aitoloakarnania – Agrinio"
ΤΙ,"Pieria – Katerini"
ΤΚ,"Trikala – Trikala"
ΤΜ,"Argolis (Argolida) – Nafplio"
ΤΝ,"Trikala – Trikala"
ΤΟ,"Drama – Drama"
ΤΡ,"Arcadia – Tripoli"
ΤΤ,"Rhodope"
ΤΥ,"Chania – Chania"
ΤΧ,"Preveza – Preveza"
ΥΑ,"Athens"
ΥΒ,"Athens"
ΥΕ,"Athens"
ΥΖ,"Athens"
ΥΗ,"Athens"
ΥΙ,"Piraeus"
ΥΚ,"Piraeus"
ΥΜ,"Piraeus"
ΥΝ,"Piraeus"
ΥΟ,"West Attica – Elefsina"
ΥΡ,"West Attica – Elefsina"
ΥΤ,"West Attica – Elefsina"
ΥΥ,"East Attica – Pallini"
ΥΧ,"East Attica – Pallini"
ΧΑ,"Euboea (Evia) – Chalkida"
ΧΒ,"Chania – Chania"
ΧΕ,"Athens"
ΧΖ,"Athens"
ΧΗ,"Athens"
ΧΙ,"Chios – Chios"
ΧΚ,"Chalkidiki – Polygyros"
ΧΜ,"Athens"
ΧΝ,"Chania – Chania"
ΧΟ,"Chios – Chios"
ΧΡ,"Athens"
ΧΤ,"Athens"
ΧΥ,"Athens"
ΧΧ,"Athens"
